# JMH version: 1.27
# VM version: JDK 11.0.9, OpenJDK 64-Bit Server VM, 11.0.9+10-jvmci-20.3-b06
# VM invoker: /home/user/Downloads/graalvm-ce-java11-20.3.0/bin/java
# VM options: -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCIProduct -XX:-UnlockExperimentalVMOptions -XX:ThreadPriorityPolicy=1
# JMH blackhole mode: full blackhole + dont-inline hint
Benchmark                       (arraySize)   Mode  Cnt         Score       Error  Units
MultiplicationBenchmark.multik         1000  thrpt   10    645505.730 ±  3310.061  ops/s
MultiplicationBenchmark.multik        10000  thrpt   10     68803.571 ±   153.205  ops/s
MultiplicationBenchmark.multik       100000  thrpt   10      6834.609 ±    22.573  ops/s
MultiplicationBenchmark.multik      1000000  thrpt   10       563.130 ±     2.411  ops/s
MultiplicationBenchmark.multik     10000000  thrpt   10        53.579 ±     0.384  ops/s
MultiplicationBenchmark.viktor          100  thrpt   10   6563491.298 ± 17043.258  ops/s
MultiplicationBenchmark.viktor         1000  thrpt   10   1016625.086 ±  8993.189  ops/s
MultiplicationBenchmark.viktor        10000  thrpt   10    111523.336 ±   653.021  ops/s
MultiplicationBenchmark.viktor       100000  thrpt   10     10537.565 ±    77.008  ops/s
MultiplicationBenchmark.viktor      1000000  thrpt   10       644.736 ±     2.413  ops/s
MultiplicationBenchmark.viktor     10000000  thrpt   10        55.741 ±     0.479  ops/s
SumBenchmark.loop                       100  thrpt   10  14460894.887 ± 17085.054  ops/s
SumBenchmark.loop                      1000  thrpt   10    928383.109 ±  1017.983  ops/s
SumBenchmark.loop                     10000  thrpt   10     89347.350 ±   149.326  ops/s
SumBenchmark.loop                    100000  thrpt   10      8896.813 ±    17.659  ops/s
SumBenchmark.loop                   1000000  thrpt   10       880.922 ±     0.528  ops/s
SumBenchmark.loop                  10000000  thrpt   10        86.935 ±     0.167  ops/s
SumBenchmark.multik                     100  thrpt   10   2184941.084 ±  2434.965  ops/s
SumBenchmark.multik                    1000  thrpt   10    149279.191 ±   466.873  ops/s
SumBenchmark.multik                   10000  thrpt   10     16498.491 ±    47.927  ops/s
SumBenchmark.multik                  100000  thrpt   10      1681.990 ±    10.844  ops/s
SumBenchmark.multik                 1000000  thrpt   10       168.721 ±     0.283  ops/s
SumBenchmark.multik                10000000  thrpt   10        16.668 ±     0.032  ops/s
SumBenchmark.viktor                     100  thrpt   10  11797849.073 ± 48514.839  ops/s
SumBenchmark.viktor                    1000  thrpt   10   3807231.673 ±  4956.825  ops/s
SumBenchmark.viktor                   10000  thrpt   10    459323.029 ±   634.539  ops/s
SumBenchmark.viktor                  100000  thrpt   10     43256.194 ±   273.812  ops/s
SumBenchmark.viktor                 1000000  thrpt   10      3180.776 ±    13.519  ops/s
SumBenchmark.viktor                10000000  thrpt   10       200.302 ±     0.097  ops/s
